r1_file	r2_file	status	read_pairs
./LBM01F12/LBM01F12_R1.fastq.gz	./LBM01F12/LBM01F12_R2.fastq.gz	OK	50767861
./LBM01G01/LBM01G01_R1.fastq.gz	./LBM01G01/LBM01G01_R2.fastq.gz	OK	48762255
./LBM01G02/LBM01G02_R1.fastq.gz	./LBM01G02/LBM01G02_R2.fastq.gz	OK	32702240
./LBM01G03/LBM01G03_R1.fastq.gz	./LBM01G03/LBM01G03_R2.fastq.gz	OK	44395378
./LBM01G05/LBM01G05_R1.fastq.gz	./LBM01G05/LBM01G05_R2.fastq.gz	OK	57417111
./LBM01G06/LBM01G06_R1.fastq.gz	./LBM01G06/LBM01G06_R2.fastq.gz	OK	40008127
./LBM01G07/LBM01G07_R1.fastq.gz	./LBM01G07/LBM01G07_R2.fastq.gz	OK	36110091
./LBM01G08/LBM01G08_R1.fastq.gz	./LBM01G08/LBM01G08_R2.fastq.gz	OK	40470943
./LBM01G09/LBM01G09_R1.fastq.gz	./LBM01G09/LBM01G09_R2.fastq.gz	OK	49484857
./LBM01G11/LBM01G11_R1.fastq.gz	./LBM01G11/LBM01G11_R2.fastq.gz	OK	36128663
./LBM01H05/LBM01H05_R1.fastq.gz	./LBM01H05/LBM01H05_R2.fastq.gz	OK	38231403
./LBM01H06/LBM01H06_R1.fastq.gz	./LBM01H06/LBM01H06_R2.fastq.gz	OK	46405327
./LBM01H07/LBM01H07_R1.fastq.gz	./LBM01H07/LBM01H07_R2.fastq.gz	OK	37928881
./LBM01H08/LBM01H08_R1.fastq.gz	./LBM01H08/LBM01H08_R2.fastq.gz	OK	39311495
./LBM01H09/LBM01H09_R1.fastq.gz	./LBM01H09/LBM01H09_R2.fastq.gz	OK	36505957
./LBM01H10/LBM01H10_R1.fastq.gz	./LBM01H10/LBM01H10_R2.fastq.gz	OK	48979283
./LBM01H11/LBM01H11_R1.fastq.gz	./LBM01H11/LBM01H11_R2.fastq.gz	OK	43154294
./LBM01H12/LBM01H12_R1.fastq.gz	./LBM01H12/LBM01H12_R2.fastq.gz	OK	53771254
./LBM02A01/LBM02A01_R1.fastq.gz	./LBM02A01/LBM02A01_R2.fastq.gz	OK	44618248
./LBM02A03/LBM02A03_R1.fastq.gz	./LBM02A03/LBM02A03_R2.fastq.gz	OK	40873369
./LBM02A04/LBM02A04_R1.fastq.gz	./LBM02A04/LBM02A04_R2.fastq.gz	OK	43842312
./LBM02A08/LBM02A08_R1.fastq.gz	./LBM02A08/LBM02A08_R2.fastq.gz	OK	45406200
./LBM02A10/LBM02A10_R1.fastq.gz	./LBM02A10/LBM02A10_R2.fastq.gz	OK	48158537
./LBM02B01/LBM02B01_R1.fastq.gz	./LBM02B01/LBM02B01_R2.fastq.gz	OK	47529928
./LBM02B02/LBM02B02_R1.fastq.gz	./LBM02B02/LBM02B02_R2.fastq.gz	OK	48961358
./LBM02B03/LBM02B03_R1.fastq.gz	./LBM02B03/LBM02B03_R2.fastq.gz	OK	40930539
./LBM02B04/LBM02B04_R1.fastq.gz	./LBM02B04/LBM02B04_R2.fastq.gz	OK	44989584
./LBM02B05/LBM02B05_R1.fastq.gz	./LBM02B05/LBM02B05_R2.fastq.gz	OK	34147264
./LBM02B06/LBM02B06_R1.fastq.gz	./LBM02B06/LBM02B06_R2.fastq.gz	OK	42089418
./LBM02B07/LBM02B07_R1.fastq.gz	./LBM02B07/LBM02B07_R2.fastq.gz	OK	44821700
./LBM02B08/LBM02B08_R1.fastq.gz	./LBM02B08/LBM02B08_R2.fastq.gz	OK	43202557
./LBM02B09/LBM02B09_R1.fastq.gz	./LBM02B09/LBM02B09_R2.fastq.gz	OK	73496120
./LBM02B11/LBM02B11_R1.fastq.gz	./LBM02B11/LBM02B11_R2.fastq.gz	OK	32969829
./LBM02B12/LBM02B12_R1.fastq.gz	./LBM02B12/LBM02B12_R2.fastq.gz	OK	43544952
./LBM02C01/LBM02C01_R1.fastq.gz	./LBM02C01/LBM02C01_R2.fastq.gz	OK	65102862
./LBM02C02/LBM02C02_R1.fastq.gz	./LBM02C02/LBM02C02_R2.fastq.gz	OK	36947767
./LBM02C03/LBM02C03_R1.fastq.gz	./LBM02C03/LBM02C03_R2.fastq.gz	OK	71611471
./LBM02C04/LBM02C04_R1.fastq.gz	./LBM02C04/LBM02C04_R2.fastq.gz	OK	73075669
./LBM02C05/LBM02C05_R1.fastq.gz	./LBM02C05/LBM02C05_R2.fastq.gz	OK	41179788
./LBM02C06/LBM02C06_R1.fastq.gz	./LBM02C06/LBM02C06_R2.fastq.gz	OK	49769063
./LBM02C07/LBM02C07_R1.fastq.gz	./LBM02C07/LBM02C07_R2.fastq.gz	OK	24675945
./LBM02C08/LBM02C08_R1.fastq.gz	./LBM02C08/LBM02C08_R2.fastq.gz	OK	40905879
./LBM02C09/LBM02C09_R1.fastq.gz	./LBM02C09/LBM02C09_R2.fastq.gz	OK	60598674
./LBM02C10/LBM02C10_R1.fastq.gz	./LBM02C10/LBM02C10_R2.fastq.gz	OK	46741755
./LBM02C11/LBM02C11_R1.fastq.gz	./LBM02C11/LBM02C11_R2.fastq.gz	OK	40596452
./LBM02C12/LBM02C12_R1.fastq.gz	./LBM02C12/LBM02C12_R2.fastq.gz	OK	39784643
./LBM02D01/LBM02D01_R1.fastq.gz	./LBM02D01/LBM02D01_R2.fastq.gz	OK	44191010
./LBM02D02/LBM02D02_R1.fastq.gz	./LBM02D02/LBM02D02_R2.fastq.gz	OK	54982597
./LBM02D03/LBM02D03_R1.fastq.gz	./LBM02D03/LBM02D03_R2.fastq.gz	OK	50791911
./LBM02D04/LBM02D04_R1.fastq.gz	./LBM02D04/LBM02D04_R2.fastq.gz	OK	43591362
./LBM02D05/LBM02D05_R1.fastq.gz	./LBM02D05/LBM02D05_R2.fastq.gz	OK	43490389
./LBM02D07/LBM02D07_R1.fastq.gz	./LBM02D07/LBM02D07_R2.fastq.gz	OK	65691731
./LBM02D08/LBM02D08_R1.fastq.gz	./LBM02D08/LBM02D08_R2.fastq.gz	OK	44528590
./LBM02D09/LBM02D09_R1.fastq.gz	./LBM02D09/LBM02D09_R2.fastq.gz	OK	85347432
./LBM02D10/LBM02D10_R1.fastq.gz	./LBM02D10/LBM02D10_R2.fastq.gz	OK	48773600
./LBM02D11/LBM02D11_R1.fastq.gz	./LBM02D11/LBM02D11_R2.fastq.gz	OK	38535166
./LBM02D12/LBM02D12_R1.fastq.gz	./LBM02D12/LBM02D12_R2.fastq.gz	OK	77152921
./LBM02E01/LBM02E01_R1.fastq.gz	./LBM02E01/LBM02E01_R2.fastq.gz	OK	49036936
./LBM02E02/LBM02E02_R1.fastq.gz	./LBM02E02/LBM02E02_R2.fastq.gz	OK	41348056
./LBM02E03/LBM02E03_R1.fastq.gz	./LBM02E03/LBM02E03_R2.fastq.gz	OK	44056782
./LBM02E04/LBM02E04_R1.fastq.gz	./LBM02E04/LBM02E04_R2.fastq.gz	OK	33995588
./LBM02E05/LBM02E05_R1.fastq.gz	./LBM02E05/LBM02E05_R2.fastq.gz	OK	49852756
./LBM02E06/LBM02E06_R1.fastq.gz	./LBM02E06/LBM02E06_R2.fastq.gz	OK	39455978
